Date,KO,PEP
2015-01-02 00:00:00+00:00,42.13999938964844,94.44000244140625
2015-01-05 00:00:00+00:00,42.13999938964844,93.7300033569336
2015-01-06 00:00:00+00:00,42.459999084472656,93.0199966430664
2015-01-07 00:00:00+00:00,42.9900016784668,95.73999786376953
2015-01-08 00:00:00+00:00,43.5099983215332,97.4800033569336
2015-01-09 00:00:00+00:00,43.029998779296875,96.81999969482422
2015-01-12 00:00:00+00:00,42.63999938964844,96.41999816894531
2015-01-13 00:00:00+00:00,42.630001068115234,96.3499984741211
2015-01-14 00:00:00+00:00,42.560001373291016,96.66999816894531
2015-01-15 00:00:00+00:00,42.380001068115234,96.66999816894531
2015-01-16 00:00:00+00:00,42.529998779296875,97.29000091552734
2015-01-20 00:00:00+00:00,43.15999984741211,97.51000213623047
2015-01-21 00:00:00+00:00,43.36000061035156,97.4000015258789
2015-01-22 00:00:00+00:00,43.779998779296875,98.9000015258789
2015-01-23 00:00:00+00:00,43.310001373291016,98.52999877929688
2015-01-26 00:00:00+00:00,43.0,98.69000244140625
2015-01-27 00:00:00+00:00,42.38999938964844,96.72000122070312
2015-01-28 00:00:00+00:00,41.91999816894531,95.72000122070312
2015-01-29 00:00:00+00:00,42.099998474121094,96.02999877929688
2015-01-30 00:00:00+00:00,41.16999816894531,93.77999877929688
2015-02-02 00:00:00+00:00,41.59000015258789,95.33000183105469
2015-02-03 00:00:00+00:00,41.630001068115234,96.19999694824219
2015-02-04 00:00:00+00:00,41.68000030517578,96.5999984741211
2015-02-05 00:00:00+00:00,41.790000915527344,96.61000061035156
2015-02-06 00:00:00+00:00,41.45000076293945,96.70999908447266
2015-02-09 00:00:00+00:00,41.22999954223633,95.97000122070312
2015-02-10 00:00:00+00:00,42.400001525878906,97.98999786376953
2015-02-11 00:00:00+00:00,42.369998931884766,100.4000015258789
2015-02-12 00:00:00+00:00,42.16999816894531,100.2699966430664
2015-02-13 00:00:00+00:00,41.9900016784668,99.12999725341797
2015-02-17 00:00:00+00:00,41.810001373291016,98.36000061035156
2015-02-18 00:00:00+00:00,41.72999954223633,99.33000183105469
2015-02-19 00:00:00+00:00,42.11000061035156,98.72000122070312
2015-02-20 00:00:00+00:00,41.970001220703125,99.05999755859375
2015-02-23 00:00:00+00:00,41.849998474121094,99.44999694824219
2015-02-24 00:00:00+00:00,42.130001068115234,99.58000183105469
2015-02-25 00:00:00+00:00,42.04999923706055,99.5
2015-02-26 00:00:00+00:00,42.459999084472656,99.06999969482422
2015-02-27 00:00:00+00:00,43.29999923706055,98.9800033569336
2015-03-02 00:00:00+00:00,43.20000076293945,99.0
2015-03-03 00:00:00+00:00,42.95000076293945,98.4000015258789
2015-03-04 00:00:00+00:00,42.5,97.36000061035156
2015-03-05 00:00:00+00:00,42.400001525878906,97.2300033569336
2015-03-06 00:00:00+00:00,41.52000045776367,96.16999816894531
2015-03-09 00:00:00+00:00,41.38999938964844,96.04000091552734
2015-03-10 00:00:00+00:00,40.689998626708984,94.43000030517578
2015-03-11 00:00:00+00:00,40.099998474121094,93.62999725341797
2015-03-12 00:00:00+00:00,40.56999969482422,95.70999908447266
2015-03-13 00:00:00+00:00,39.90999984741211,94.31999969482422
2015-03-16 00:00:00+00:00,40.290000915527344,95.44999694824219
2015-03-17 00:00:00+00:00,40.5099983215332,94.12999725341797
2015-03-18 00:00:00+00:00,40.599998474121094,94.63999938964844
2015-03-19 00:00:00+00:00,40.02000045776367,94.0999984741211
2015-03-20 00:00:00+00:00,40.650001525878906,95.33999633789062
2015-03-23 00:00:00+00:00,40.619998931884766,95.8499984741211
2015-03-24 00:00:00+00:00,40.470001220703125,95.86000061035156
2015-03-25 00:00:00+00:00,40.45000076293945,95.26000213623047
2015-03-26 00:00:00+00:00,40.349998474121094,95.62999725341797
2015-03-27 00:00:00+00:00,40.08000183105469,95.94999694824219
2015-03-30 00:00:00+00:00,40.5099983215332,96.5199966430664
2015-03-31 00:00:00+00:00,40.54999923706055,95.62000274658203
2015-04-01 00:00:00+00:00,40.68000030517578,95.08999633789062
2015-04-02 00:00:00+00:00,40.68000030517578,95.69000244140625
2015-04-06 00:00:00+00:00,41.16999816894531,96.4800033569336
2015-04-07 00:00:00+00:00,41.0099983215332,96.20999908447266
2015-04-08 00:00:00+00:00,40.88999938964844,96.02999877929688
2015-04-09 00:00:00+00:00,41.04999923706055,96.3499984741211
2015-04-10 00:00:00+00:00,40.880001068115234,96.19999694824219
2015-04-13 00:00:00+00:00,40.70000076293945,95.52999877929688
2015-04-14 00:00:00+00:00,40.5099983215332,96.48999786376953
2015-04-15 00:00:00+00:00,40.400001525878906,96.62999725341797
2015-04-16 00:00:00+00:00,40.599998474121094,96.44999694824219
2015-04-17 00:00:00+00:00,40.29999923706055,95.80999755859375
2015-04-20 00:00:00+00:00,40.65999984741211,96.5
2015-04-21 00:00:00+00:00,40.779998779296875,96.77999877929688
2015-04-22 00:00:00+00:00,41.310001373291016,97.27999877929688
2015-04-23 00:00:00+00:00,40.95000076293945,95.7300033569336
2015-04-24 00:00:00+00:00,40.88999938964844,95.16999816894531
2015-04-27 00:00:00+00:00,40.83000183105469,94.48999786376953
2015-04-28 00:00:00+00:00,40.77000045776367,94.41999816894531
2015-04-29 00:00:00+00:00,40.4900016784668,94.37999725341797
2015-04-30 00:00:00+00:00,40.560001373291016,95.12000274658203
2015-05-01 00:00:00+00:00,40.90999984741211,95.55999755859375
2015-05-04 00:00:00+00:00,40.959999084472656,95.94999694824219
2015-05-05 00:00:00+00:00,40.75,95.41999816894531
